record_id,source,source_record_id,event_date,industry,report_type,event_type,description,what_went_wrong,corrective_action,cause,causal_factors,hazard,activity,location,equipment,worker_involvement,worker_exposure,injury_type,severity,hospitalization,amputation,loss_of_eye,fatality,high_potential,energy_vector,barrier_status,barrier_failure,life_saving_rule,sif_label,sif_label_source,data_quality,provenance
OSHA-2015010026,OSHA,2015010026,1/2/2015,562211,Severe Injury,"Struck by powered vehicle-nontransport, unspecified","An employee was struck by an excavator on 01/02/2015 and hospitalized for injuries to his leg, several broken bones in his foot, and a fracture in his left arm.",,,"Struck by powered vehicle-nontransport, unspecified","Excavating machinery, unspecified",Fractures,,"ROBSTOWN, TEXAS","Excavating machinery, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010027,OSHA,2015010027,1/2/2015,311811,Severe Injury,"Indirect exposure to electricity, 220 volts or less","On or about 1/2/15 at 9:10 p.m., an employee was preparing to troubleshoot the hamburger bun bagger machine that was not working. He received an electrical shock when he came in contact with a proximity switch. Employee was working alone at the time of the incident.  He was admitted to the hospital for one day.",,,"Indirect exposure to electricity, 220 volts or less","Packaging, wrapping, bundling machinery","Electrocutions, electric shocks",,"MIAMI, FLORIDA","Packaging, wrapping, bundling machinery",YES,YES,"Electrocutions, electric shocks",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Electrical,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010028,OSHA,2015010028,1/2/2015,452112,Severe Injury,"Fall on same level due to tripping, unspecified",An employee stumbled and fell to the ground on the left side of her body and was admitted to Irving Baylor Medical Center with a possible hip fracture.,,,"Fall on same level due to tripping, unspecified","Floors, walkways, ground surfaces, unspecified",Fractures,,"IRVING, TEXAS","Floors, walkways, ground surfaces, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010029,OSHA,2015010029,1/2/2015,238110,Severe Injury,Struck by object or equipment dropped by other person,"Two employees in a scissor lift were wrecking forms, taking forms down, and removing the forms. They lost their grip on the form, which fell and hit an employee walking below on the shoulder, knocking him to the ground. He hit his head on the concrete, causing a wound to the head, a broken collarbone, and a broken rib.",,,Struck by object or equipment dropped by other person,"Structural elements, n.e.c.",Fractures,,"GALVESTON, TEXAS","Structural elements, n.e.c.",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010030,OSHA,2015010030,1/2/2015,561320,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ",Employee amputated tip of finger when his finger got caught in the chain of a stationary exercise bicycle that he was servicing. There was no bone loss and the employee was not hospitalized.,,,"Caught in running equipment or machinery during maintenance, cleaning ",Gymnasium and exercise equipment,Amputations,,"MONROE, WISCONSIN",Gymnasium and exercise equipment,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010032,OSHA,2015010032,1/2/2015,311615,Severe Injury,"Contact with objects and equipment, unspecified",An employee suffered a right index finger amputation. The employee's finger was injured by a thigh deboning machine. The finger was still attached at the time of the incident and was later amputated at the hospital.,,,"Contact with objects and equipment, unspecified",Butchering machinery,Amputations,,"ARCADIA, LOUISIANA",Butchering machinery,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010033,OSHA,2015010033,1/2/2015,447110,Severe Injury,"Pedestrian struck by vehicle in nonroadway area, unspecified",An employee was injured by a customer's automobile when the car jumped the curb and pinned the employee against the Red Box movie kiosk on the convenience store's sidewalk.,,,"Pedestrian struck by vehicle in nonroadway area, unspecified",Automobile,"Traumatic injuries and disorders, unspecified",,"SPRING HILL, FLORIDA",Automobile,YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010034,OSHA,2015010034,1/2/2015,321219,Severe Injury,Struck against moving part of machinery or equipment,"Employee suffered the amputation of three fingers while working on the south in-bed fuel airlock in the energy building. He was using a hammer to hit the outside of the chute to loosen built up saw dust.  The chute leads to an airlock, which feeds the blow line to the boiler. He removed the panel cover over the airlock to see if the saw dust was falling in.  He slipped and his left hand entered the airlock. Contact with the rotating parts in the airlock resulted in the multiple-finger amputation.",,,Struck against moving part of machinery or equipment,Climate control systems,Amputations,,"SHIPPENVILLE, PENNSYLVANIA",Climate control systems,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010035,OSHA,2015010035,1/2/2015,321918,Severe Injury,Struck against moving part of machinery or equipment,An employee who was using a cordless circular saw to install wood panels around an elevator lobby received a partial amputation of his left index finger when the tip of his finger became caught in the saw.,,,Struck against moving part of machinery or equipment,"Saws-powered, except chainsaws",Amputations,,"DALLAS, TEXAS","Saws-powered, except chainsaws",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010037,OSHA,2015010037,1/2/2015,237990,Severe Injury,Stepped on object ,"On Friday, January 2, 2015, at 10:30 p.m., a crew of employees were changing out wooden decking boards on a platform off shore. One of the employees was walking the platform, slipped, and stepped on a protruding nail that entered the employee's right foot. First aid was applied to the employee, and the employee was later sent to a clinic for treatment. The employee was admitted to a hospital at 3:00 a.m. on January 5, 2015, from swelling on his foot due to the incident.",,,Stepped on object ,"Nails, brads, tacks, nuts, bolts, washers","Puncture wounds, except gunshot wounds",,"CAMERON, LOUISIANA","Nails, brads, tacks, nuts, bolts, washers",YES,YES,"Puncture wounds, except gunshot wounds",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010038,OSHA,2015010038,1/2/2015,331210,Severe Injury,Other fall to lower level 6 to 10 feet,"The employee was coming down a ladder after placing media in a nitrogen generator. Employee missed a rung, fell about 10 feet to the floor, and sustained a compound fracture to the right arm.",,,Other fall to lower level 6 to 10 feet,"Ladders, unspecified",Fractures,,"AMORY, MISSISSIPPI","Ladders, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010040,OSHA,2015010040,1/2/2015,521110,Severe Injury,Fall on same level due to tripping on uneven surface,"Employee tripped on a paver and fractured her wrist, requiring hospitalization.",,,Fall on same level due to tripping on uneven surface,Ground irregularity,Fractures,,"WOODLAND PARK, NEW JERSEY",Ground irregularity,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010041,OSHA,2015010041,1/3/2015,331222,Severe Injury,"Contact with objects and equipment, unspecified","Employees use a draw machine to extrude wire.  The employee bypassed the guard or disabled it to remove soap build-up on the wire coming from the die. The employee amputated the middle, ring, and pinky fingers on the right hand and the first digit of the index finger. Employee was hospitalized and released. The injury occurred on 1/3/15 at approximately 6:00 p.m.",,,"Contact with objects and equipment, unspecified","Extruding, injecting, forming, molding machinery, n.e.c.",Amputations,,"DAYTON, TEXAS","Extruding, injecting, forming, molding machinery, n.e.c.",YES,YES,Amputations,Hospitalization,1.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Electrical,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010043,OSHA,2015010043,1/3/2015,238990,Severe Injury,Struck by object falling from vehicle or machinery-other than vehicle part,"While in the process of unloading pre-tied mats of rebar, one of the bundles fell off of the tying jig and pinned three workers underneath. Two of the workers were unharmed. A third employee suffered a fractured rib and a fractured vertebra.",,,Struck by object falling from vehicle or machinery-other than vehicle part,"Bars, rods, reinforcing bar (rebar)",Fractures,,"CLEVELAND, OHIO","Bars, rods, reinforcing bar (rebar)",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010044,OSHA,2015010044,1/3/2015,445110,Severe Injury,"Struck by swinging or slipping object, other than handheld, unspecified  ","Employee lost his nail, skin, and flesh from the tip of his right ring finger while closing the cardboard bailer door.",,,"Struck by swinging or slipping object, other than handheld, unspecified  ","Packaging, wrapping, bundling machinery","Avulsions, enucleations",,"SCHAUMBURG, ILLINOIS","Packaging, wrapping, bundling machinery",YES,YES,"Avulsions, enucleations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010045,OSHA,2015010045,1/3/2015,488119,Severe Injury,Compressed or pinched by shifting objects or equipment,"An employee suffered a trans-phalangeal amputation of the middle finger on the right hand. The employee was attempting to connect two baggage-transferring carts manually by pulling them into each other. The employee placed his hand on one baggage cart and pulled it to the second cart with his other hand in an effort to connect the two. The employee's hand was caught between the two carts, causing a middle finger amputation on his right hand at the first knuckle.",,,Compressed or pinched by shifting objects or equipment,"Cart, dolly, hand truck-nonpowered",Amputations,,"TAMPA, FLORIDA","Cart, dolly, hand truck-nonpowered",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010046,OSHA,2015010046,1/3/2015,515210,Severe Injury,Other jump to lower level 26 to 30 feet,"Employee was installing a new cable on a home while working from a Lunar, 28 foot fiberglass extension ladder. A gust of wind made his ladder move and he felt like it was going to fall so he jumped off the ladder toward the grass to avoid the concrete patio and landed on his back.",,,Other jump to lower level 26 to 30 feet,Extension ladders,"Soreness, pain, hurt-nonspecified injury",,"EDISON, NEW JERSEY",Extension ladders,YES,YES,"Soreness, pain, hurt-nonspecified injury",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010047,OSHA,2015010047,1/3/2015,561720,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ",Worker caught a hand in a running conveyor while cleaning and rinsing it. Worker suffered broken radial and ulnar bones in the right arm. The victim was hospitalized.,,,"Caught in running equipment or machinery during maintenance, cleaning ","Conveyors-powered, unspecified",Fractures,,"OMAHA, NEBRASKA","Conveyors-powered, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010048,OSHA,2015010048,1/3/2015,311411,Severe Injury,"Roadway noncollision incident, n.e.c.","An employee was hospitalized after being hit by a forklift that was unloading boxes of pulp from a flatbed stationed in the roadway. The forklift backed up and ran over the employee's leg as he was leaving work, resulting in a fractured ankle and leg.",,,"Roadway noncollision incident, n.e.c.","Forklift, order picker, platform truck-powered",Fractures,,"BRADENTON, FLORIDA","Forklift, order picker, platform truck-powered",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010049,OSHA,2015010049,1/4/2015,623210,Severe Injury,Strangulation by other person,An employee was assaulted by a patient (choking) resulting in a multi-day hospitalization.,,,Strangulation by other person,Patient ,"Asphyxiations, strangulations, suffocations",,"GREENFIELD, NEW HAMPSHIRE",Patient ,YES,YES,"Asphyxiations, strangulations, suffocations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010050,OSHA,2015010050,1/4/2015,311812,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ",Employee was performing inspection and preventive maintenance on a conveyor line.  His fingertip was amputated in a chain and sprocket when the line started up.,,,"Caught in running equipment or machinery during maintenance, cleaning ",Conveyors-chain,Amputations,,"KANSAS CITY, KANSAS",Conveyors-chain,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010051,OSHA,2015010051,1/4/2015,325311,Severe Injury,Compressed or pinched by shifting objects or equipment,An employee was exposed to an amputation hazard while coupling rail cars. He used his foot to align the couplers. His foot slipped and got caught between the two couplers. His toe was smashed when the cars connected.,,,Compressed or pinched by shifting objects or equipment,"Train, locomotive, rail car, unspecified",Amputations,,"YAZOO CITY, MISSISSIPPI","Train, locomotive, rail car, unspecified",YES,YES,Amputations,Hospitalization,1.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010052,OSHA,2015010052,1/4/2015,445110,Severe Injury,Struck against moving part of machinery or equipment,"On or about 1/4/15 at 1:50 PM, employee was slicing ham when a piece of meat slipped, allowing the employee's hand to come into contact with the deli slicer.  Employee lost tip of thumb; there was no bone loss.",,,Struck against moving part of machinery or equipment,Food slicers,Amputations,,"CORAL SPRINGS, FLORIDA",Food slicers,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010053,OSHA,2015010053,1/4/2015,622110,Severe Injury,Slip on substance without fall,"On January 4, 2015, at approximately 5:10 p.m., an employee slipped on a wet floor while transporting a patient from one level to another.  The employee experienced a hamstring tear.",,,Slip on substance without fall,"Bodily motion or position of injured, ill worker","Major tears to muscles, tendons, ligaments",,"WAUSAU, WISCONSIN","Bodily motion or position of injured, ill worker",YES,YES,"Major tears to muscles, tendons, ligaments",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010054,OSHA,2015010054,1/4/2015,213112,Severe Injury,"Other fall to lower level, unspecified",Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,,,"Other fall to lower level, unspecified","Ladders, unspecified","Fractures and other injuries, n.e.c.",,"CRANE, TEXAS","Ladders, unspecified",YES,YES,"Fractures and other injuries, n.e.c.",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010055,OSHA,2015010055,1/4/2015,517911,Severe Injury,Fall on same level due to slipping ,An employee slipped on the ice in the parking lot and hit his head.  He was transported and admitted to Morton Hospital.,,,Fall on same level due to slipping ,"Parking lot, unspecified","Intracranial injuries, unspecified",,"TAUNTON, MASSACHUSETTS","Parking lot, unspecified",YES,YES,"Intracranial injuries, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010056,OSHA,2015010056,1/4/2015,324110,Severe Injury,"Exposure to harmful substances or environments, unspecified",Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,,,"Exposure to harmful substances or environments, unspecified",Nonclassifiable,"Burns and corrosions, unspecified ",,"EL DORADO, ARKANSAS",Nonclassifiable,YES,YES,"Burns and corrosions, unspecified ",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010057,OSHA,2015010057,1/4/2015,331111,Severe Injury,Contact with hot objects or substances,"An employee in the #2 steel-producing BOF shop was making ladle additions to the first heat steel of the day on furnace #94 when the materials reacted, causing flames and high heat to come up through the chute. The employee received first and second degree burns to the face, right wrist and forearm, and a little bit on his right abdomen.",,,Contact with hot objects or substances,"Fire, flame",Second degree heat (thermal) burns,,"CLEVELAND, OHIO","Fire, flame",YES,YES,Second degree heat (thermal) burns,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010059,OSHA,2015010059,1/4/2015,331111,Severe Injury,"Fall on same level, unspecified",An employee was hospitalized following injuries sustained while traveling by foot to the locker room. The employee was between the belt shop and the locker room crossing railroad tracks that had recently been covered with snow. The employee either slipped or tripped and experienced three breaks to the ankle and tibia.,,,"Fall on same level, unspecified",Railroad tracks,Fractures,,"STERLING, ILLINOIS",Railroad tracks,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010061,OSHA,2015010061,1/4/2015,491110,Severe Injury,"Sudden start or stop, nonroadway","Employee was loading a trailer with a forklift when the left leg of the trailer collapsed, causing the trailer to tilt to the left. This caused the forklift and employee to slide to the left, striking the trailer wall and causing an acute spinal injury to the employee.",,,"Sudden start or stop, nonroadway","Forklift, order picker, platform truck-powered","Traumatic injuries to spinal cord, unspecified",,"DETROIT, MICHIGAN","Forklift, order picker, platform truck-powered",YES,YES,"Traumatic injuries to spinal cord, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010062,OSHA,2015010062,1/4/2015,321113,Severe Injury,Fall on same level due to slipping ,Employee climbed up on a handrail and slipped while cleaning snow off of the framework and guard of a chip belt conveyor. Employee suffered amputation of the right index finger.  Employee was seen at Kootenai Health and was released as an out-patient.,,,Fall on same level due to slipping ,"Handrails, banisters",Amputations,,"ATHOL, IDAHO","Handrails, banisters",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010063,OSHA,2015010063,1/4/2015,423850,Severe Injury,Other fall to lower level less than 6 feet,"An employee was working on a vehicle being lifted off the ground.  He stepped off the back and fell approximately 4 feet to the ground below.  When the employee hit the ground, he fractured his wrist and was taken to Grady Memorial Hospital where he received surgery.",,,Other fall to lower level less than 6 feet,"Highway vehicle, motorized, unspecified",Fractures,,"ATLANTA, GEORGIA","Highway vehicle, motorized, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
